ID,"class","handicapped-infants","water-project-cost-sharing","adoption-of-the-budget-resolution","physician-fee-freeze","el-salvador-aid","religious-groups-in-schools","anti-satellite-test-ban","aid-to-nicaraguan-contras","mx-missile","immigration","synfuels-crporation-cutback","education-spending","superfund-right-to-sue","crime","duty-free-exports","export-administration-act-south-africa"
301,republican,n,n,n,y,y,n,y,y,y,y,n,y,y,y,n,y
10,democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,unknown,unknown
373,democrat,n,y,y,y,y,y,n,n,n,n,y,y,unknown,y,n,n
208,republican,y,unknown,n,y,y,y,y,n,n,y,n,y,y,y,n,y
429,democrat,unknown,unknown,unknown,n,n,n,y,y,y,y,n,n,y,n,y,y
401,republican,n,y,n,y,y,y,n,unknown,n,n,unknown,unknown,unknown,y,n,unknown
180,democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y
176,democrat,n,y,y,n,n,n,y,y,y,y,n,n,n,n,y,y
202,democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y
369,democrat,n,y,y,n,n,y,y,y,n,y,n,n,n,n,y,y
400,republican,n,y,n,y,unknown,y,n,n,n,y,n,y,y,y,n,n
392,democrat,y,y,n,n,n,n,n,y,y,n,y,n,n,n,y,n
325,republican,n,y,n,y,y,y,n,n,n,n,y,y,y,y,n,n
304,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n
338,democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y
435,republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,unknown,n
200,democrat,y,y,n,n,n,n,y,y,unknown,n,y,n,n,n,y,unknown
333,democrat,y,n,y,n,n,n,y,y,y,n,y,n,n,n,y,unknown
123,republican,n,n,n,y,y,y,n,n,n,y,n,y,n,y,n,y
15,republican,n,y,n,y,y,y,n,n,n,n,n,y,unknown,unknown,n,unknown
47,democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,n,y
315,republican,n,y,n,y,y,y,y,y,n,n,y,y,y,y,y,y
40,democrat,y,n,y,n,n,n,y,y,y,y,y,n,y,n,y,y
268,republican,y,n,n,n,n,n,y,y,y,y,n,n,n,y,n,y
426,democrat,n,n,y,n,n,n,y,y,n,y,y,n,n,n,y,unknown
272,democrat,n,y,y,n,n,y,y,y,y,n,unknown,n,n,n,n,y
64,democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,n,y
58,republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y
149,republican,n,y,n,y,y,y,n,n,n,y,y,y,y,y,n,y
17,democrat,y,n,y,n,n,y,n,y,unknown,y,y,y,unknown,n,n,y
255,democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,n,n,y
117,democrat,y,n,y,n,n,n,y,y,y,n,y,n,n,n,y,y
11,republican,n,y,n,y,y,n,n,n,n,n,unknown,unknown,y,y,n,n
267,republican,n,n,n,y,y,y,n,n,n,y,n,y,n,y,n,y
137,republican,n,y,n,y,y,y,n,n,n,y,y,y,y,n,n,y
173,democrat,n,y,y,n,n,n,y,y,y,y,n,n,unknown,n,y,y
293,democrat,y,n,y,n,n,y,y,y,n,y,y,n,y,y,y,y
299,democrat,n,y,n,n,n,n,y,y,y,y,y,n,n,n,y,y
225,republican,n,y,n,y,y,y,n,n,n,y,n,unknown,y,y,n,n
88,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n
71,democrat,y,n,y,n,n,n,y,y,y,n,n,n,y,n,y,unknown
214,democrat,n,y,y,n,n,y,n,y,y,n,y,n,y,n,y,y
45,democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,n,unknown
7,democrat,n,y,n,y,y,y,n,n,n,n,n,n,unknown,y,y,y
235,democrat,n,n,y,n,n,y,y,y,y,y,n,y,n,y,y,unknown
414,republican,y,y,y,y,y,y,y,y,n,y,unknown,unknown,unknown,y,n,y
164,republican,n,y,n,y,y,y,y,n,n,n,n,y,y,y,n,y
233,democrat,n,y,y,n,n,n,y,y,n,n,y,n,n,n,y,unknown
260,democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,n,y
218,republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n
303,republican,n,n,n,y,y,y,y,n,n,y,n,y,y,y,n,y
428,republican,n,n,n,y,y,y,y,y,n,y,n,y,y,y,n,y
276,democrat,n,n,y,n,y,y,n,n,n,n,unknown,n,y,y,n,n
321,democrat,n,y,y,n,n,y,n,y,y,y,n,n,y,y,n,y
412,democrat,y,n,y,n,n,y,y,y,y,y,y,n,n,n,n,y
364,republican,y,y,n,y,y,y,n,n,n,y,y,n,y,n,n,n
21,democrat,y,y,y,n,n,unknown,y,y,n,n,y,n,n,n,y,y
107,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
227,democrat,n,n,y,n,n,y,y,y,y,n,y,n,n,y,y,y
288,democrat,y,y,y,unknown,n,y,y,y,y,n,y,n,y,n,unknown,y
138,democrat,n,unknown,y,n,n,y,y,y,y,y,n,n,n,y,y,y
109,democrat,y,unknown,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
169,democrat,n,n,y,y,y,y,n,n,y,n,n,n,y,y,y,unknown
382,democrat,y,y,y,n,y,y,y,y,y,y,y,n,y,y,n,unknown
285,democrat,n,n,y,n,n,y,y,y,y,y,y,n,n,n,unknown,y
379,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y
139,democrat,n,n,y,n,n,y,y,y,y,y,n,n,n,y,n,y
240,republican,n,n,n,y,y,y,y,n,n,y,n,n,n,y,y,y
193,democrat,n,n,n,n,n,y,y,y,y,n,y,n,n,y,y,y
257,republican,n,n,n,y,y,n,n,n,n,n,n,y,n,y,n,n
395,democrat,y,y,unknown,unknown,unknown,y,n,n,n,n,y,n,y,n,n,y
332,democrat,y,unknown,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
24,democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y
104,democrat,y,n,n,n,y,y,unknown,n,unknown,n,n,n,n,y,unknown,n
279,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y
313,democrat,y,y,y,n,n,n,y,y,y,y,n,n,n,n,y,y
222,democrat,n,y,y,n,y,y,n,n,n,n,y,n,n,n,y,unknown
236,republican,n,n,n,y,y,y,n,n,n,y,n,y,n,y,n,y
359,democrat,y,y,y,n,n,y,y,y,y,y,y,y,y,y,n,unknown
131,democrat,y,unknown,y,n,unknown,unknown,y,y,y,n,n,n,n,n,y,unknown
86,democrat,n,n,y,n,y,y,n,n,n,y,y,y,y,y,n,y
192,republican,n,y,n,y,y,y,n,unknown,n,y,n,y,y,y,n,unknown
239,democrat,y,y,y,n,n,n,y,y,unknown,y,n,n,n,n,y,unknown
367,democrat,y,n,y,n,n,n,y,y,n,y,y,n,n,n,n,unknown
115,democrat,y,unknown,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
141,republican,n,n,n,y,n,n,y,y,y,y,n,n,y,y,n,y
207,republican,n,n,n,y,y,y,n,n,n,y,n,y,n,y,n,y
280,republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n
244,democrat,n,y,y,n,n,n,y,y,unknown,y,n,n,y,n,y,y
270,democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,n,y
99,democrat,y,y,y,n,n,y,y,y,y,y,n,n,n,n,n,y
296,republican,n,y,n,y,y,y,unknown,unknown,n,y,n,y,unknown,unknown,unknown,unknown
188,democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
56,republican,n,y,n,y,y,y,n,n,n,y,y,y,y,y,n,n
171,democrat,y,n,y,n,n,n,unknown,y,y,unknown,n,n,n,n,y,unknown
52,republican,n,y,n,y,y,y,n,unknown,n,n,n,y,y,y,n,y
68,republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n
328,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
289,democrat,y,y,y,n,y,y,n,y,n,y,y,n,y,y,y,y
16,republican,n,y,n,y,y,y,n,n,n,y,n,y,y,unknown,n,unknown
213,democrat,n,n,y,n,n,n,y,y,y,n,y,n,n,n,y,y
386,democrat,y,y,n,n,y,y,n,n,n,n,y,y,y,y,y,n
129,democrat,n,unknown,y,n,n,y,n,y,n,y,y,n,n,n,y,y
186,democrat,y,n,y,n,n,n,y,y,y,y,n,unknown,n,n,y,y
405,republican,y,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y
87,republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n
339,democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,y,y,y
12,republican,n,y,n,y,y,y,n,n,n,n,y,unknown,y,y,unknown,unknown
54,republican,y,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n
177,republican,n,n,y,y,n,n,y,y,y,y,n,n,n,y,y,y
150,democrat,n,n,y,n,n,n,y,y,y,y,n,n,y,n,y,y
246,democrat,y,n,y,n,n,n,y,y,y,y,y,n,n,n,y,y
60,republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,unknown
210,democrat,y,y,y,n,n,n,y,y,y,y,y,n,n,n,n,y
100,republican,n,n,n,y,y,y,n,n,n,y,unknown,y,y,y,n,n
9,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
238,democrat,y,n,y,n,n,y,y,y,n,n,n,y,y,n,n,y
156,republican,y,y,n,y,y,y,n,unknown,n,n,y,y,y,y,n,n
103,democrat,y,n,y,n,y,y,y,n,unknown,n,y,n,y,y,y,unknown
112,republican,n,unknown,n,y,y,y,n,n,n,y,n,y,y,y,n,y
266,democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,n,n,y
282,republican,y,n,y,y,y,y,y,y,n,n,n,n,n,y,n,unknown
113,democrat,n,unknown,y,n,n,y,y,y,n,y,n,n,n,n,y,unknown
397,democrat,y,y,y,n,y,y,n,y,n,n,y,n,y,n,y,y
57,republican,n,y,n,y,y,y,n,n,n,y,y,y,y,y,n,y
335,democrat,n,y,y,n,n,y,y,y,unknown,n,y,y,n,n,y,y
290,democrat,y,y,y,n,y,y,n,y,n,y,y,n,y,y,n,unknown
223,democrat,y,n,y,n,n,n,y,y,y,n,y,n,n,n,y,unknown
353,democrat,n,y,n,y,n,y,y,y,y,n,y,n,y,n,y,unknown
120,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n
410,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n
28,democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y
190,democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y
358,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n
347,republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,y
96,democrat,y,n,y,n,y,y,n,unknown,unknown,n,y,unknown,unknown,unknown,y,y
306,republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n
110,democrat,y,unknown,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
119,democrat,n,y,y,n,n,n,n,y,y,y,y,n,n,n,y,y
14,democrat,y,y,y,n,n,y,y,y,unknown,y,y,unknown,n,n,y,unknown
228,democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,unknown,y
194,democrat,n,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y
3,democrat,unknown,y,y,unknown,y,y,n,n,n,n,y,n,y,y,n,n
51,democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y
151,republican,y,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y
316,republican,n,y,y,y,y,y,y,unknown,n,n,n,n,unknown,unknown,y,unknown
127,republican,n,unknown,n,y,y,y,n,n,n,n,n,y,y,y,n,n
320,democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
314,republican,n,y,y,y,y,y,n,n,n,y,n,y,y,y,n,y
326,democrat,n,y,n,n,y,y,n,n,unknown,n,n,y,y,y,n,y
158,democrat,n,y,y,n,n,y,n,y,y,n,y,n,unknown,unknown,unknown,unknown
170,democrat,y,n,y,n,n,n,y,y,y,y,y,n,n,y,n,y
6,democrat,n,y,y,n,y,y,n,n,n,n,n,n,y,y,y,y
345,democrat,n,n,y,n,n,n,y,y,y,y,y,n,n,n,y,y
269,democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
261,democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,n,n,y
18,democrat,y,unknown,y,n,n,n,y,y,y,n,n,n,y,n,y,y
291,democrat,y,n,y,n,unknown,y,unknown,y,y,y,n,n,y,y,n,y
90,republican,n,n,n,y,y,y,n,n,n,y,n,unknown,y,y,n,unknown
178,democrat,n,n,y,n,n,n,y,y,y,y,y,unknown,n,n,y,y
106,democrat,y,y,y,n,n,n,n,y,y,n,y,n,n,n,y,y
271,democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y
275,republican,y,n,n,y,y,n,y,n,n,y,n,n,n,y,y,y
354,republican,n,n,y,y,y,y,y,n,n,y,y,y,y,y,n,y
324,democrat,y,y,y,n,y,y,n,y,unknown,y,n,n,y,y,n,unknown
